,payload
2019-12-31,615.1802295375126
2020-01-01,603.1248021204759
2020-01-02,615.7751917836234
2020-01-03,610.0060252533941
2020-01-04,626.2383244721666
2020-01-05,651.7395462100444
2020-01-06,598.2608935527509
2020-01-07,675.2355330114739
2020-01-08,659.7136561919482
2020-01-09,584.3913562569943
2020-01-10,611.2675571831484
2020-01-11,656.8837883026013
2020-01-12,664.0020510139725
2020-01-13,627.850825396665
2020-01-14,637.7914396076277
2020-01-15,636.9390653995864
2020-01-16,651.1645583213719
2020-01-17,642.2831412438121
2020-01-18,638.6058887617245
2020-01-19,636.1836037151332
2020-01-20,642.4249954241374
2020-01-21,640.2385705192331
2020-01-22,640.8642101814547
2020-01-23,638.419733417095
2020-01-24,639.9310770206092
2020-01-25,640.3797634814816
2020-01-26,640.828789909316
2020-01-27,639.827298445335
2020-01-28,640.1909189883219
2020-01-29,640.0756277596149
2020-01-30,640.4618586817911
2020-01-31,640.2226487757123
2020-02-01,640.1597680648217
2020-02-02,640.0877316701403
2020-02-03,640.2427919123154
2020-02-04,640.185807908159
2020-02-05,640.2043773935052
2020-02-06,640.1448484948849
2020-02-07,640.1817386757656
2020-02-08,640.1910541435052
2020-02-09,640.2022138859325
2020-02-10,640.1784575027701
2020-02-11,640.1872200428603
2020-02-12,640.1843405270296
2020-02-13,640.1934483172656
2020-02-14,640.1878033144659
2020-02-15,640.1863961110124
2020-02-16,640.1846860119332
2020-02-17,640.1883137566913
2020-02-18,640.1869741107564
2020-02-19,640.1874154933084
2020-02-20,640.1860252886108
2020-02-21,640.1868869812951
2020-02-22,640.1871009023075
2020-02-23,640.1873620601948
2020-02-24,640.1868086593947
2020-02-25,640.1870130934198
2020-02-26,640.1869456812564
2020-02-27,640.1871577229788
2020-02-28,640.187026290682
