,payload
2019-12-31,1648.3562217941944
2020-01-01,1933.4139756386223
2020-01-02,1952.7177832345458
2020-01-03,1838.2576088748347
2020-01-04,1878.2107803051315
2020-01-05,1516.9056331743295
2020-01-06,157.82547048038737
2020-01-07,1607.1176925604088
2020-01-08,1905.214488461916
2020-01-09,2177.209677693049
2020-01-10,1777.5317222988617
2020-01-11,1859.4807947146444
2020-01-12,1550.605827655033
2020-01-13,155.68316496798343
2020-01-14,1599.3838371738764
2020-01-15,1902.6428199607558
2020-01-16,2181.3724498465845
2020-01-17,1776.679247235515
2020-01-18,1858.2279784307648
2020-01-19,1549.9627055452527
2020-01-20,155.914000141717
2020-01-21,1598.913419867826
2020-01-22,1902.16645028644
2020-01-23,2180.9640490243037
2020-01-24,1776.3856929075266
2020-01-25,1857.8363510025508
2020-01-26,1549.576865994064
2020-01-27,155.5351442351846
2020-01-28,1598.5497818943752
2020-01-29,1901.7890549363897
2020-01-30,2180.588318115673
2020-01-31,1776.0105616649348
2020-02-01,1857.4632894487336
2020-02-02,1549.2018942693292
2020-02-03,155.16061299757393
2020-02-04,1598.175181828134
2020-02-05,1901.4147218214268
2020-02-06,2180.2136953424556
2020-02-07,1775.6360295507086
2020-02-08,1857.088746806574
2020-02-09,1548.827411294537
2020-02-10,154.78617970928804
2020-02-11,1597.8006684923796
2020-02-12,1901.0401872975604
2020-02-13,2179.839148913725
2020-02-14,1775.2615032387243
2020-02-15,1856.7142172115696
2020-02-16,1548.4529007399392
2020-02-17,154.41175818763122
2020-02-18,1597.4261548867883
2020-02-19,1900.665654808997
2020-02-20,2179.464598693882
2020-02-21,1774.8869787389026
2020-02-22,1856.3396874453233
2020-02-23,1548.078390525626
2020-02-24,154.03733615761507
2020-02-25,1597.0516415753948
2020-02-26,1900.291122295272
2020-02-27,2179.090048548114
2020-02-28,1774.512454187859
