,payload
2019-12-31,192.0
2020-01-01,192.0
2020-01-02,192.0
2020-01-03,192.0
2020-01-04,192.0
2020-01-05,192.0
2020-01-06,192.0
2020-01-07,192.0
2020-01-08,192.0
2020-01-09,192.0
2020-01-10,192.0
2020-01-11,192.0
2020-01-12,192.0
2020-01-13,192.0
2020-01-14,192.0
2020-01-15,192.0
2020-01-16,192.0
2020-01-17,192.0
2020-01-18,192.0
2020-01-19,192.0
2020-01-20,192.0
2020-01-21,192.0
2020-01-22,192.0
2020-01-23,192.0
2020-01-24,192.0
2020-01-25,192.0
2020-01-26,192.0
2020-01-27,192.0
2020-01-28,192.0
2020-01-29,192.0
2020-01-30,192.0
2020-01-31,192.0
2020-02-01,192.0
2020-02-02,192.0
2020-02-03,192.0
2020-02-04,192.0
2020-02-05,192.0
2020-02-06,192.0
2020-02-07,192.0
2020-02-08,192.0
2020-02-09,192.0
2020-02-10,192.0
2020-02-11,192.0
2020-02-12,192.0
2020-02-13,192.0
2020-02-14,192.0
2020-02-15,192.0
2020-02-16,192.0
2020-02-17,192.0
2020-02-18,192.0
2020-02-19,192.0
2020-02-20,192.0
2020-02-21,192.0
2020-02-22,192.0
2020-02-23,192.0
2020-02-24,192.0
2020-02-25,192.0
2020-02-26,192.0
2020-02-27,192.0
2020-02-28,192.0
