,payload
2019-12-31,254.62217489364346
2020-01-01,255.5888551598027
2020-01-02,254.74733863730768
2020-01-03,255.50520100180466
2020-01-04,253.68571001770405
2020-01-05,255.1021756659175
2020-01-06,255.8197403289428
2020-01-07,255.16629267796714
2020-01-08,254.8617560309424
2020-01-09,254.2026345388471
2020-01-10,254.8587313509169
2020-01-11,254.07344728042395
2020-01-12,254.884746164715
2020-01-13,255.22543122196973
2020-01-14,254.93522375786827
2020-01-15,254.68307447154018
2020-01-16,254.46000908549266
2020-01-17,254.75517500072766
2020-01-18,254.50568762759758
2020-01-19,254.77013340910364
2020-01-20,254.8746834751913
2020-01-21,254.76292050947413
2020-01-22,254.69410327915952
2020-01-23,254.61417609869008
2020-01-24,254.71835864688103
2020-01-25,254.6142843889333
2020-01-26,254.71655936043618
2020-01-27,254.7600819966737
2020-01-28,254.72119241154232
2020-01-29,254.69170405235803
2020-01-30,254.66025210182423
2020-01-31,254.699305162391
2020-02-01,254.6626418605266
2020-02-02,254.70082313195772
2020-02-03,254.71641952710021
2020-02-04,254.70107557553504
2020-02-05,254.69050633935498
2020-02-06,254.67914679335732
2020-02-07,254.693880461699
2020-02-08,254.67983838231677
2020-02-09,254.69398509607151
2020-02-10,254.69985712668634
2020-02-11,254.69431147624059
2020-02-12,254.6903431268522
2020-02-13,254.6860401876888
2020-02-14,254.69147968502264
2020-02-15,254.68628619330963
2020-02-16,254.69159598231514
2020-02-17,254.69379381015665
2020-02-18,254.6916916673002
2020-02-19,254.69020538604119
2020-02-20,254.68860653322037
2020-02-21,254.69065113682285
2020-02-22,254.68870869358753
2020-02-23,254.6906846564351
2020-02-24,254.6915009882571
2020-02-25,254.6907211857035
2020-02-26,254.6901686700177
2020-02-27,254.68957187383862
2020-02-28,254.69033214535023
