,payload
2019-12-31,1105.2627212274056
2020-01-01,217.599374680555
2020-01-02,1234.1275810885948
2020-01-03,321.96398837818083
2020-01-04,1035.5306206401224
2020-01-05,71.83759129978193
2020-01-06,55.64417413859019
2020-01-07,1003.6928170178622
2020-01-08,160.0204383306368
2020-01-09,1172.387387126207
2020-01-10,178.43346171700784
2020-01-11,955.3318657099445
2020-01-12,-41.39235616750625
2020-01-13,-57.49317378276157
2020-01-14,891.3004395646398
2020-01-15,52.85166155162415
2020-01-16,1061.3327242136243
2020-01-17,68.04125222894243
2020-01-18,844.9449686895448
2020-01-19,-151.26757599097186
2020-01-20,-167.75688756705028
2020-01-21,781.0248903582209
2020-01-22,-57.31825046309177
2020-01-23,951.06667641269
2020-01-24,-42.140200446789095
2020-01-25,734.6826118529983
2020-01-26,-261.4083258987016
2020-01-27,-277.89351666619757
2020-01-28,670.7676731358431
2020-01-29,-167.47018184552223
2020-01-30,840.7899802638478
2020-01-31,-152.29416670343176
2020-02-01,624.432475624734
2020-02-02,-371.53534281601276
2020-02-03,-388.01855538781354
2020-02-04,560.5255919964037
2020-02-05,-277.6088560440934
2020-02-06,730.52691343417
2020-02-07,-262.43469957485456
2020-02-08,514.1961006400419
2020-02-09,-481.6488226247932
2020-02-10,-498.1299990465335
2020-02-11,450.2971015907963
2020-02-12,-387.7339244169548
2020-02-13,620.277445755233
2020-02-14,-372.56164037389726
2020-02-15,403.97332723867953
2020-02-16,-591.748713536801
2020-02-17,-608.2278562829882
2020-02-18,340.08221305447546
2020-02-19,-497.8454039874522
2020-02-20,510.04158245808514
2020-02-21,-482.6749921283364
2020-02-22,293.76415482408515
2020-02-23,-701.8350186650632
2020-02-24,-718.3121279640812
2020-02-25,229.88092449357634
2020-02-26,-607.9432963297635
2020-02-27,399.8193217324373
2020-02-28,-592.7747564262271
