,payload
2019-12-31,979.7793423123663
2020-01-01,921.9555789952651
2020-01-02,741.8795677718894
2020-01-03,901.9698777305364
2020-01-04,1073.9895712426319
2020-01-05,612.7555454053161
2020-01-06,733.2960495703196
2020-01-07,1037.0435482725788
2020-01-08,790.5177319126889
2020-01-09,899.3291498869087
2020-01-10,849.3867648781921
2020-01-11,1040.2254720974427
2020-01-12,632.5628940098853
2020-01-13,787.3942879626259
2020-01-14,984.1670275389625
2020-01-15,810.4206847153713
2020-01-16,878.2919925799388
2020-01-17,859.0317715118942
2020-01-18,995.8718190669673
2020-01-19,680.3622945476835
2020-01-20,795.9424110878899
2020-01-21,959.9159220040232
2020-01-22,816.2030677296536
2020-01-23,873.883324135208
2020-01-24,855.5238544713591
2020-01-25,967.1118032541327
2020-01-26,713.8910786817262
2020-01-27,807.3477201690682
2020-01-28,936.7974425476269
2020-01-29,823.2795098504915
2020-01-30,868.5099749434133
2020-01-31,854.4219925752768
2020-02-01,942.8656549089449
2020-02-02,741.5308899653858
2020-02-03,815.7023939035118
2020-02-04,919.0062255180017
2020-02-05,828.432142282293
2020-02-06,864.584000126253
2020-02-07,853.2655345812965
2020-02-08,923.7834734576466
2020-02-09,763.3678854479876
2020-02-10,822.4898702688639
2020-02-11,904.7309008933615
2020-02-12,832.6205701738934
2020-02-13,861.3917187844312
2020-02-14,852.3945343574183
2020-02-15,908.5457506208439
2020-02-16,780.7915275056623
2020-02-17,827.8715687113706
2020-02-18,893.3799141311586
2020-02-19,835.9417281435523
2020-02-20,858.8608111479302
2020-02-21,851.6917897550403
2020-02-22,896.4165053490027
2020-02-23,794.6632801486234
2020-02-24,832.1622047782889
2020-02-25,884.3359275032448
2020-02-26,838.589523053076
2020-02-27,856.8429864539983
2020-02-28,851.1336880976285
