,payload
2019-12-31,268.9241556713873
2020-01-01,252.47932743753955
2020-01-02,266.5591503791578
2020-01-03,154.7944967907714
2020-01-04,248.2460061404522
2020-01-05,230.61887420918117
2020-01-06,212.15199404539317
2020-01-07,220.02691263892493
2020-01-08,216.12827783010178
2020-01-09,248.81172852598937
2020-01-10,192.16977653118812
2020-01-11,248.30136937315837
2020-01-12,197.01691815392346
2020-01-13,222.8842240877488
2020-01-14,217.1570755080515
2020-01-15,214.6119592238544
2020-01-16,241.20356662704262
2020-01-17,192.82346491949625
2020-01-18,243.31833671712107
2020-01-19,195.86497730968415
2020-01-20,219.54516173233498
2020-01-21,214.74646933759772
2020-01-22,212.03411288262612
2020-01-23,237.1290344809115
2020-01-24,191.63569242319306
2020-01-25,239.0957010385739
2020-01-26,194.51867468219004
2020-01-27,216.76439216385313
2020-01-28,212.2464514626239
2020-01-29,209.71181040987935
2020-01-30,233.25403727288858
2020-01-31,190.5670380236956
2020-02-01,235.101084185148
2020-02-02,193.27164469028133
2020-02-03,214.14598560453
2020-02-04,209.90695311326752
2020-02-05,207.52809098380865
2020-02-06,229.62029987200904
2020-02-07,189.56275930161107
2020-02-08,231.35350780170427
2020-02-09,192.10079169552102
2020-02-10,211.68926550226487
2020-02-11,207.71134407838275
2020-02-12,205.47903827840204
2020-02-13,226.21031383524425
2020-02-14,188.62040439844884
2020-02-15,227.83675457818887
2020-02-16,191.0020875967596
2020-02-17,209.38387034414183
2020-02-18,205.65099775300078
2020-02-19,203.55620603246254
2020-02-20,223.0103931943766
2020-02-21,187.73609837517938
2020-02-22,224.5366418102547
2020-02-23,189.97106509329623
2020-02-24,207.22049271566226
2020-02-25,203.71757263296803
2020-02-26,201.75182435726114
2020-02-27,220.0075940453839
2020-02-28,186.9062674759457
