,payload
2019-12-31,-134.79237017798772
2020-01-01,-40.77114088861137
2020-01-02,-172.58275374688563
2020-01-03,-164.68917615635195
2020-01-04,-72.08069123835864
2020-01-05,-326.43008209542324
2020-01-06,-424.62285094531467
2020-01-07,-116.34163118677873
2020-01-08,-189.02683134017371
2020-01-09,-116.55992280577665
2020-01-10,-112.690388040475
2020-01-11,-182.6600597116285
2020-01-12,20.986714955304876
2020-01-13,100.62433322129385
2020-01-14,-140.2053873165948
2020-01-15,-84.28960447095162
2020-01-16,-138.534603169899
2020-01-17,-141.58700102288034
2020-01-18,-88.5320471534275
2020-01-19,-243.80801450467322
2020-01-20,-304.50207533743907
2020-01-21,-120.79262190189701
2020-01-22,-163.4681178237483
2020-01-23,-122.07189822289499
2020-01-24,-119.7407193783568
2020-01-25,-160.221531664197
2020-01-26,-41.755343671451016
2020-01-27,4.5515210834851985
2020-01-28,-135.60807958322673
2020-01-29,-103.04939204700345
2020-01-30,-134.63224641171044
2020-01-31,-136.41074596249567
2020-02-01,-105.52627293950971
2020-02-02,-195.9090520326872
2020-02-03,-231.23847321830632
2020-02-04,-124.3048995742773
2020-02-05,-149.14527432731603
2020-02-06,-125.04940548700944
2020-02-07,-123.69251386652483
2020-02-08,-147.25555897453734
2020-02-09,-78.29878911297128
2020-02-10,-51.34450869509507
2020-02-11,-132.92856613564987
2020-02-12,-113.97681420490125
2020-02-13,-132.3605517207094
2020-02-14,-133.39578059987298
2020-02-15,-115.41855641103163
2020-02-16,-168.0285355263901
2020-02-17,-188.59307375368257
2020-02-18,-126.34921333738468
2020-02-19,-140.80829074561274
2020-02-20,-126.78257508808643
2020-02-21,-125.99275604899232
2020-02-22,-139.70832583282137
2020-02-23,-99.56999122097429
2020-02-24,-83.88045227067431
2020-02-25,-131.3688744090749
2020-02-26,-120.33744468891435
2020-02-27,-131.03824475952584
2020-02-28,-131.64083045537785
