,payload
2019-12-31,1489.0248000381366
2020-01-01,1318.450400542867
2020-01-02,1192.530719178199
2020-01-03,1146.925532283465
2020-01-04,1496.7542039820516
2020-01-05,958.3479509904951
2020-01-06,265.7567321990449
2020-01-07,1374.4696936456126
2020-01-08,1262.5789501072256
2020-01-09,1152.4313666740857
2020-01-10,1094.4731720676227
2020-01-11,1440.4792663330195
2020-01-12,877.023783941976
2020-01-13,216.08455859042078
2020-01-14,1314.034078378333
2020-01-15,1201.0033814545523
2020-01-16,1091.0552610644768
2020-01-17,1034.843208330571
2020-01-18,1379.736990476256
2020-01-19,816.4770153162814
2020-01-20,155.90456303417943
2020-01-21,1253.5096320691637
2020-01-22,1140.4404890747967
2020-01-23,1030.54534912786
2020-01-24,974.366412692439
2020-01-25,1319.1316835401328
2020-01-26,756.0741280164505
2020-01-27,95.7472990980292
2020-01-28,1192.9484477770134
2020-01-29,1079.9205007101912
2020-01-30,970.0656425520688
2020-01-31,913.9076386165711
2020-02-01,1258.545819087707
2020-02-02,695.6957834744114
2020-02-03,35.61238567226519
2020-02-04,1132.4090661239118
2020-02-05,1019.4227831283072
2020-02-06,909.6084194815661
2020-02-07,853.4711197035825
2020-02-08,1197.9822495160113
2020-02-09,635.339709234977
2020-02-10,-24.50034748395376
2020-02-11,1071.8919965692376
2020-02-12,958.9473662466837
2020-02-13,849.1734858556713
2020-02-14,793.056881223869
2020-02-15,1137.4410062438506
2020-02-16,575.0058854053275
2020-02-17,-84.59091978786853
2020-02-18,1011.3972367487294
2020-02-19,898.4942437205243
2020-02-20,788.7608317183357
2020-02-21,732.664914599617
2020-02-22,1076.9220816329607
2020-02-23,514.6943037742002
2020-02-24,-144.65933956455012
2020-02-25,950.9247784585917
2020-02-26,838.0634073742119
2020-02-27,728.3704488426145
2020-02-28,672.2952116106485
