,payload
2019-12-31,906.2912692174743
2020-01-01,796.6791260392055
2020-01-02,752.7198991470768
2020-01-03,766.5480990219742
2020-01-04,835.2515919231139
2020-01-05,751.6233106273844
2020-01-06,724.972988623856
2020-01-07,769.7026028979005
2020-01-08,761.1681100922498
2020-01-09,748.2657642113957
2020-01-10,754.3314209901489
2020-01-11,755.9040891562613
2020-01-12,756.2951051886627
2020-01-13,755.1694352929858
2020-01-14,755.5000015627678
2020-01-15,755.7374895541105
2020-01-16,753.5188762729986
2020-01-17,754.4032980636679
2020-01-18,754.1507530721723
2020-01-19,755.8402464404662
2020-01-20,755.0678267711684
2020-01-21,754.8604888900323
2020-01-22,755.1398553572911
2020-01-23,753.7567917080106
2020-01-24,754.282152872851
2020-01-25,754.1000474248923
2020-01-26,755.2553741922112
2020-01-27,754.7356464000345
2020-01-28,754.5899733834987
2020-01-29,754.7797340266654
2020-01-30,753.8552451651823
2020-01-31,754.2057007896316
2020-02-01,754.0837066394834
2020-02-02,754.8575313698522
2020-02-03,754.5095212084907
2020-02-04,754.411898945298
2020-02-05,754.5389870825334
2020-02-06,753.920120522132
2020-02-07,754.1547049144734
2020-02-08,754.0730389085833
2020-02-09,754.5910694361166
2020-02-10,754.3580977904847
2020-02-11,754.2927447328417
2020-02-12,754.3778228142173
2020-02-13,753.9635332429574
2020-02-14,754.120571407637
2020-02-15,754.0659015387799
2020-02-16,754.4126884038232
2020-02-17,754.2567294361138
2020-02-18,754.212979919149
2020-02-19,754.2699340193366
2020-02-20,753.9925948847322
2020-02-21,754.0977214174018
2020-02-22,754.0611236014126
2020-02-23,754.2932741950217
2020-02-24,754.1888701051871
2020-02-25,754.1595827319675
2020-02-26,754.1977096898585
2020-02-27,754.0120497044336
2020-02-28,754.0824248807313
