,payload
2019-12-31,465.253830215896
2020-01-01,544.138406577381
2020-01-02,644.3414643703594
2020-01-03,684.135445819893
2020-01-04,549.6881252616155
2020-01-05,424.99678773640625
2020-01-06,482.36506444553385
2020-01-07,526.2461639623308
2020-01-08,564.0213612324662
2020-01-09,593.8228534851366
2020-01-10,623.8991262343569
2020-01-11,533.6100129414999
2020-01-12,444.77556016530383
2020-01-13,481.77774653738663
2020-01-14,506.3478271871061
2020-01-15,540.2390958868848
2020-01-16,575.4714761118956
2020-01-17,607.063855828769
2020-01-18,521.8091199702897
2020-01-19,437.070182558484
2020-01-20,470.90097692943857
2020-01-21,494.7552948938341
2020-01-22,526.7294426072311
2020-01-23,558.9964519046424
2020-01-24,587.7058495332049
2020-01-25,508.9341257920533
2020-01-26,430.90104567212836
2020-01-27,462.24803853081767
2020-01-28,484.23449860422704
2020-01-29,513.6729109765694
2020-01-30,543.435862814349
2020-01-31,569.9604906666333
2020-02-01,497.2775467607395
2020-02-02,425.2519945866026
2020-02-03,454.1727191462158
2020-02-04,474.4618201247263
2020-02-05,501.6365549064023
2020-02-06,529.110537427317
2020-02-07,553.5917918762199
2020-02-08,486.505618779121
2020-02-09,420.0273180343076
2020-02-10,446.720895988825
2020-02-11,465.4477767753311
2020-02-12,490.5293047759831
2020-02-13,515.8867318857125
2020-02-14,538.4821081539302
2020-02-15,476.5635254927087
2020-02-16,415.20601571632517
2020-02-17,439.8434499265212
2020-02-18,457.12779193325946
2020-02-19,480.27731557025294
2020-02-20,503.6815214543921
2020-02-21,524.5364380430238
2020-02-22,467.38732178616794
2020-02-23,410.7560506280563
2020-02-24,433.4957084819105
2020-02-25,449.4486737144084
2020-02-26,470.81503885932773
2020-02-27,492.41646649065825
2020-02-28,511.6649698062103
