,payload
2019-12-31,166.72463218575663
2020-01-01,218.14633873903483
2020-01-02,153.63284727786996
2020-01-03,135.39515680801557
2020-01-04,185.69518916327587
2020-01-05,167.61736309224443
2020-01-06,168.3222102763856
2020-01-07,160.98597892221034
2020-01-08,180.84885815206354
2020-01-09,162.7908231480879
2020-01-10,139.0376953810207
2020-01-11,161.99561335905656
2020-01-12,152.37095237157644
2020-01-13,185.81514137337996
2020-01-14,165.37008725950238
2020-01-15,173.7836900487826
2020-01-16,166.58647233746635
2020-01-17,153.96748870342128
2020-01-18,165.96483412574764
2020-01-19,160.25910938308053
2020-01-20,180.13020389328423
2020-01-21,168.21269759025748
2020-01-22,173.00008828776416
2020-01-23,168.82128068120872
2020-01-24,161.49764936967767
2020-01-25,168.48230946949604
2020-01-26,165.14828471729106
2020-01-27,176.7336940761192
2020-01-28,169.7895388497515
2020-01-29,172.57867394497327
2020-01-30,170.14256649796434
2020-01-31,165.87435141346455
2020-02-01,169.94549604249147
2020-02-02,168.0021042876776
2020-02-03,174.7547326192362
2020-02-04,170.70732221139252
2020-02-05,172.33298764501552
2020-02-06,170.91307364202146
2020-02-07,168.42531600933108
2020-02-08,170.79821473293228
2020-02-09,169.66549412479492
2020-02-10,173.6013107178229
2020-02-11,171.24224916304303
2020-02-12,172.189780010233
2020-02-13,171.3621729137539
2020-02-14,169.912165656347
2020-02-15,171.2952265827793
2020-02-16,170.6350123344006
2020-02-17,172.92903099104237
2020-02-18,171.55403519915748
2020-02-19,172.10631029085332
2020-02-20,171.62393361320136
2020-02-21,170.778786577969
2020-02-22,171.58491346752848
2020-02-23,171.20010290152777
2020-02-24,172.53718797730824
2020-02-25,171.7357619088725
2020-02-26,172.05765937070805
2020-02-27,171.77650269627074
2020-02-28,171.2839027409505
