,payload
2019-12-31,2160.7976892368506
2020-01-01,1858.9761486491243
2020-01-02,2309.731426933823
2020-01-03,2434.3172137647034
2020-01-04,2264.3765333047318
2020-01-05,1776.1914341492497
2020-01-06,583.7260273580732
2020-01-07,2145.4134883780002
2020-01-08,1798.7551491996646
2020-01-09,2099.5762147936507
2020-01-10,2335.810587303338
2020-01-11,2167.7906912194835
2020-01-12,1699.6569654340763
2020-01-13,473.93688174439285
2020-01-14,2049.3825899280014
2020-01-15,1702.083948266366
2020-01-16,2005.3888186536628
2020-01-17,2236.9122705798563
2020-01-18,2071.202109176147
2020-01-19,1602.9189948054868
2020-01-20,377.82266120261556
2020-01-21,1952.2576793796482
2020-01-22,1605.3960436866162
2020-01-23,1908.5695429586615
2020-01-24,2140.0855857483766
2020-01-25,1974.3254619514598
2020-01-26,1506.206309249405
2020-01-27,281.3835136826351
2020-01-28,1855.4580564266885
2020-01-29,1508.6651220943781
2020-01-30,1811.7762043646242
2020-01-31,2043.2359981065997
2020-02-01,1877.5155453298933
2020-02-02,1409.5038888410822
2020-02-03,184.96799178788524
2020-02-04,1758.6750265401365
2020-02-05,1411.9631303579013
2020-02-06,1715.0032873446225
2020-02-07,1946.409282691972
2020-02-08,1780.7274130580836
2020-02-09,1312.824933406791
2020-02-10,88.57459557225093
2020-02-11,1661.914630567326
2020-02-12,1315.283585022639
2020-02-13,1618.253069741378
2020-02-14,1849.605091052286
2020-02-15,1683.9618664003983
2020-02-16,1216.1685112114988
2020-02-17,-7.796301016244115
2020-02-18,1565.1767921862154
2020-02-19,1218.6265900025978
2020-02-20,1521.5254145902686
2020-02-21,1752.8234790920444
2020-02-22,1587.2188863759113
2020-02-23,1119.5346320546882
2020-02-24,-104.14472186252988
2020-02-25,1468.4615157858866
2020-02-26,1121.9921375223448
2020-02-27,1424.8203187512968
2020-02-28,1656.0644389137597
