,payload
2019-12-31,977.3736104998036
2020-01-01,677.785726041943
2020-01-02,767.0236251054712
2020-01-03,687.4393713599179
2020-01-04,767.2999966874693
2020-01-05,564.7288673719893
2020-01-06,691.570093302223
2020-01-07,974.1316496343252
2020-01-08,700.2054175345996
2020-01-09,792.3550030171823
2020-01-10,668.5761605108835
2020-01-11,792.0424166164294
2020-01-12,578.6612184932972
2020-01-13,690.2049055131076
2020-01-14,979.3120876109207
2020-01-15,708.4803816350975
2020-01-16,798.9567197724124
2020-01-17,673.9507014951594
2020-01-18,798.3276078476058
2020-01-19,585.0925827358711
2020-01-20,696.4362066559133
2020-01-21,985.4087880401527
2020-01-22,714.7303838458081
2020-01-23,805.1813013550652
2020-01-24,680.1778377862345
2020-01-25,804.5299781520682
2020-01-26,591.3385282195208
2020-01-27,702.662225406119
2020-01-28,991.5936040309415
2020-01-29,720.9525707472735
2020-01-30,811.392344117516
2020-01-31,686.4056942606642
2020-02-01,810.7404565254877
2020-02-02,597.5789114254541
2020-02-03,708.8871272833686
2020-02-04,997.7776817315224
2020-02-05,727.1748130081688
2020-02-06,817.601823164533
2020-02-07,692.6328050216101
2020-02-08,816.9500348684338
2020-02-09,603.8185231664486
2020-02-10,715.1110561981391
2020-02-11,1003.9609240253252
2020-02-12,733.3961671208822
2020-02-13,823.8104421713335
2020-02-14,698.8590251922806
2020-02-15,823.1587454141797
2020-02-16,610.0572531513046
2020-02-17,721.3341107409656
2020-02-18,1010.143293436148
2020-02-19,739.6166461196584
2020-02-20,830.0181860986892
2020-02-21,705.0843687749655
2020-02-22,829.3665811534736
2020-02-23,616.2951045949542
2020-02-24,727.5562886488743
2020-02-25,1016.3247921171394
2020-02-26,745.8362489063255
2020-02-27,836.2250556871115
2020-02-28,711.3088354891738
