,payload
2019-12-31,273.1154267736463
2020-01-01,385.10776940393623
2020-01-02,342.57462283132776
2020-01-03,416.9632167717014
2020-01-04,317.4484681016922
2020-01-05,320.3364892920087
2020-01-06,462.2539376978168
2020-01-07,388.1617450226251
2020-01-08,432.73902261907506
2020-01-09,439.4989515242356
2020-01-10,417.3957834632846
2020-01-11,388.35421492835604
2020-01-12,368.86751986409183
2020-01-13,477.75805303712303
2020-01-14,410.7429605475105
2020-01-15,465.205233916376
2020-01-16,467.3566857207493
2020-01-17,445.2662337470225
2020-01-18,417.4810755286687
2020-01-19,404.2161883759786
2020-01-20,499.21235865068223
2020-01-21,440.1071514400769
2020-01-22,487.0318685791966
2020-01-23,489.9260411097053
2020-01-24,470.25566641019054
2020-01-25,445.94245825997103
2020-01-26,433.9203733886594
2020-01-27,517.7574151115673
2020-01-28,465.6718443681863
2020-01-29,507.0339235562614
2020-01-30,509.46096104013805
2020-01-31,492.2385433556793
2020-02-01,470.8125143553871
2020-02-02,460.2749131371481
2020-02-03,533.9831932469536
2020-02-04,488.19172489010964
2020-02-05,524.560308192755
2020-02-06,526.7099918364969
2020-02-07,511.5471356196974
2020-02-08,492.7084093664751
2020-02-09,483.4328366897839
2020-02-10,548.2760473782042
2020-02-11,507.99097174299703
2020-02-12,539.9858182312456
2020-02-13,541.8744790343121
2020-02-14,528.5383753664903
2020-02-15,511.9652873727229
2020-02-16,503.80709941295663
2020-02-17,560.8458195961554
2020-02-18,525.4095989148627
2020-02-19,553.5534508200608
2020-02-20,555.21521657958
2020-02-21,543.483750688373
2020-02-22,528.9054194301492
2020-02-23,521.7288487997096
2020-02-24,571.9033188486578
2020-02-25,540.7316004232767
2020-02-26,565.4885348104619
2020-02-27,566.9502458376726
2020-02-28,556.6306691047872
