,payload
2019-12-31,1999.3601949475947
2020-01-01,1711.4775792812134
2020-01-02,2181.86294581745
2020-01-03,1963.887236335837
2020-01-04,2025.4793720037696
2020-01-05,1925.2424798859497
2020-01-06,2038.8658167847843
2020-01-07,1981.9657889279272
2020-01-08,2005.71700823402
2020-01-09,1975.4217516150559
2020-01-10,2001.5763544461047
2020-01-11,1981.3669233142539
2020-01-12,1998.575922657724
2020-01-13,1987.4982123314692
2020-01-14,1994.673088891719
2020-01-15,1988.7894246366636
2020-01-16,1993.4525821899954
2020-01-17,1990.230824057232
2020-01-18,1992.3377794018522
2020-01-19,1990.7860029985798
2020-01-20,1992.0448744740993
2020-01-21,1991.1258997184057
2020-01-22,1991.7484089832556
2020-01-23,1991.291370529627
2020-01-24,1991.6458237945626
2020-01-25,1991.3846749265065
2020-01-26,1991.568974472112
2020-01-27,1991.4350544035892
2020-01-28,1991.5359879220275
2020-01-29,1991.4615895193715
2020-01-30,1991.5149015247923
2020-01-31,1991.4760548582203
2020-02-01,1991.504954312908
2020-02-02,1991.4837206262507
2020-02-03,1991.4990932289802
2020-02-04,1991.4878660886309
2020-02-05,1991.4961608917952
2020-02-06,1991.4900720840321
2020-02-07,1991.4945015123178
2020-02-08,1991.4912632711491
2020-02-09,1991.4936472641764
2020-02-10,1991.491898887613
2020-02-11,1991.4931742764143
2020-02-12,1991.492241300841
2020-02-13,1991.492926629221
2020-02-14,1991.4924242481538
2020-02-15,1991.4927913298675
2020-02-16,1991.4925227048318
2020-02-17,1991.4927197791828
2020-02-18,1991.4925753579698
2020-02-19,1991.492680986867
2020-02-20,1991.4926036678953
2020-02-21,1991.492660349886
2020-02-22,1991.492618821023
2020-02-23,1991.4926492123
2020-02-24,1991.4926269623027
2020-02-25,1991.4926432665998
2020-02-26,1991.4926313227963
2020-02-27,1991.4926400662243
2020-02-28,1991.4926336642286
