,payload
2019-12-31,8187.562084374925
2020-01-01,8939.344605203043
2020-01-02,8435.243057759333
2020-01-03,8756.096683457163
2020-01-04,8866.69412116971
2020-01-05,8034.230066194985
2020-01-06,4874.72340159246
2020-01-07,8281.387654254491
2020-01-08,9036.516456107225
2020-01-09,9011.432553293922
2020-01-10,8822.911185059977
2020-01-11,8864.399683319947
2020-01-12,8148.504106878586
2020-01-13,4992.043017049728
2020-01-14,8370.920744392484
2020-01-15,9116.920152380717
2020-01-16,9105.66630245169
2020-01-17,8918.296548933844
2020-01-18,8956.2454567836
2020-01-19,8239.127975447052
2020-01-20,5084.30909247015
2020-01-21,8463.418305383067
2020-01-22,9208.973520700527
2020-01-23,9197.555117126367
2020-01-24,9010.380266913786
2020-01-25,9048.368103654617
2020-01-26,8331.195583661729
2020-01-27,5176.354513836688
2020-01-28,8555.48681559433
2020-01-29,9301.04804122732
2020-01-30,9289.62289428805
2020-01-31,9102.445057254561
2020-02-01,9140.435622110173
2020-02-02,8423.263985700294
2020-02-03,5268.422101538552
2020-02-04,8647.553999212092
2020-02-05,9393.115545093111
2020-02-06,9381.690523620027
2020-02-07,9194.5125886523
2020-02-08,9232.503099997424
2020-02-09,8515.3315019041
2020-02-10,5360.489638405425
2020-02-11,8739.621520940815
2020-02-12,9485.183058954653
2020-02-13,9473.758041863903
2020-02-14,9286.58010946369
2020-02-15,9324.570619399405
2020-02-16,8607.399021107425
2020-02-17,5452.557161362504
2020-02-18,8831.689040736826
2020-02-19,9577.250577823535
2020-02-20,9565.825560621486
2020-02-21,9378.647628471705
2020-02-22,9416.638138410755
2020-02-23,8699.466540839185
2020-02-24,5544.624684327615
2020-02-25,8923.756560228016
2020-02-26,9669.318096552404
2020-02-27,9657.89307936006
2020-02-28,9470.715147400979
