,payload
2019-12-31,1367.451634271436
2020-01-01,1571.9268843036257
2020-01-02,1464.5662173689866
2020-01-03,1549.5675677406025
2020-01-04,1450.8658487685414
2020-01-05,1407.6232781381316
2020-01-06,1406.7775066796032
2020-01-07,1402.0657954855126
2020-01-08,1561.431507843798
2020-01-09,1441.4923611597899
2020-01-10,1527.8180400014035
2020-01-11,1454.492623314646
2020-01-12,1392.5508387184873
2020-01-13,1403.409119296408
2020-01-14,1401.5667941931708
2020-01-15,1532.6362393504116
2020-01-16,1431.0347439105217
2020-01-17,1504.5567376407264
2020-01-18,1443.3345022826584
2020-01-19,1391.2059874571219
2020-01-20,1400.2819330075918
2020-01-21,1398.894952801905
2020-01-22,1508.349064423229
2020-01-23,1423.433487919658
2020-01-24,1484.8682632145947
2020-01-25,1433.7376790756873
2020-01-26,1390.1830700179662
2020-01-27,1397.7621622652848
2020-01-28,1396.6066966335777
2020-01-29,1488.0411842718677
2020-01-30,1417.1045673113847
2020-01-31,1468.4250442964442
2020-02-01,1425.7127635351765
2020-02-02,1389.3287156977492
2020-02-03,1395.6598993963614
2020-02-04,1394.694711951937
2020-02-05,1471.0758562634637
2020-02-06,1411.817913872287
2020-02-07,1454.6892029945393
2020-02-08,1419.0088949446802
2020-02-09,1388.6149597062517
2020-02-10,1393.903801722822
2020-02-11,1393.0975186270507
2020-02-12,1456.9036046750996
2020-02-13,1407.4016319293328
2020-02-14,1443.2147781833003
2020-02-15,1413.4087209551953
2020-02-16,1388.0187110851464
2020-02-17,1392.4368211029523
2020-02-18,1391.7632809264353
2020-02-19,1445.064610563138
2020-02-20,1403.7124272679575
2020-02-21,1433.6294529103984
2020-02-22,1408.7305352805622
2020-02-23,1387.5206261854569
2020-02-24,1391.2113577893203
2020-02-25,1390.6487063364941
2020-02-26,1435.1747369363482
2020-02-27,1400.6305972067214
2020-02-28,1425.6222138938426
