,payload
2019-12-31,228.13733362887223
2020-01-01,201.26845980241308
2020-01-02,199.80016701604973
2020-01-03,207.4903387031236
2020-01-04,216.46249763216906
2020-01-05,223.557700429772
2020-01-06,222.5904780437742
2020-01-07,231.7361349793003
2020-01-08,219.7333310354823
2020-01-09,206.53673593262914
2020-01-10,200.8745305923746
2020-01-11,193.42786985182775
2020-01-12,200.71118730354124
2020-01-13,209.81551731743593
2020-01-14,211.3368968488325
2020-01-15,205.85949991348818
2020-01-16,202.29452737547317
2020-01-17,203.03081901433612
2020-01-18,204.25423642406335
2020-01-19,205.08239603687892
2020-01-20,204.9768373484986
2020-01-21,204.58952446075983
2020-01-22,204.34851018876302
2020-01-23,204.4203671894838
2020-01-24,204.53862646261874
2020-01-25,204.47272995955132
2020-01-26,204.43482873447368
2020-01-27,204.46485012954216
2020-01-28,204.50662170502005
2020-01-29,204.50026623080637
2020-01-30,204.47373141804954
2020-01-31,204.46135782214762
2020-02-01,204.4626269651245
2020-02-02,204.4742788365369
2020-02-03,204.48007350926687
2020-02-04,204.4773086475794
2020-02-05,204.4721647820148
2020-02-06,204.47110052194736
2020-02-07,204.4730171509592
2020-02-08,204.47387714414887
2020-02-09,204.4736522641642
2020-02-10,204.47318843312632
2020-02-11,204.4731490212035
2020-02-12,204.47330465009657
2020-02-13,204.4733852242565
2020-02-14,204.4733163504531
2020-02-15,204.47319344286737
2020-02-16,204.47320507835138
2020-02-17,204.47328256155544
2020-02-18,204.47331694883692
2020-02-19,204.47328633302124
2020-02-20,204.47325317243588
2020-02-21,204.47325188880762
2020-02-22,204.47326459277022
2020-02-23,204.47327382832464
2020-02-24,204.47327206525023
2020-02-25,204.4732668053048
2020-02-26,204.4732648144735
2020-02-27,204.47326657169947
2020-02-28,204.47326825495165
